
COPY ss_cat_neighbor_store (store_id, store_desc, area_id) FROM stdin;
303	KFC SANTA MARTHA	K5101
304	KFC ECHEGARAY	K5101
305	KFC FRAY SERVANDO	K1602
306	KFC EL ROSARIO	K5101
307	KFC ECATEPEC CENTRO	K1302
308	KFC MOLINITO	K1103
309	KFC SAN PBLO XALPA	K5101
310	KFC CALLE 7	K1602
311	KFC PEÒON VIEJO	K1601
312	 MIXCOAC EXTREMADURA	K1106
313	KFC SANTA FE BELEM	K5101
314	CHIMALHUACAN	K1603
315	KFC CUAUTEPEC	K5101
316	KFC PLAZA LA HACIENDA	K5101
317	KFC VALLE DE REYES	K1701
318	INS-PARROQUIA	K1106
319	ACAPULCO CICI	K1604
320	ACAPULCO CUAUHTEMOC	K1604
321	KFC LA VIGA	K1701
322	KFC MIXCOAC	K1701
323	EL ROSARIO	K1605
324	KFC ZAPATA	K1606
325	KFC TAXQUEÒA	K1501
326	KFC LOMAS VERDES	K1701
327	SAN MATEO	K1501
328	GARIBALDI	K1101
330	SAN JUANICO	K1302
331	KFC SANTA CLARA	K1302
332	AVCENTRAL KFC	K1303
334	KFC TENAYUCA PERIFERICO	K1104
336	TLAXCALA	K1603
401	SAN JERONIMO	P1108
402	PH ACUEDUCTO	P5101
403	8 DE JULIO	P3101
404	ARAGON SUR	P1102
405	LINDAVISTA	P2104
406	PH HOLLYWOOD	P5101
407	CUITLAHUAC	P1105
408	BUENAVISTA	P1111
410	MORELOS	P1109
411	PABLO LIVAS MONTERREY	P2103
412	JARDINES DE MORELOS	P1106
413	PIE DE LA CUESTA / VIA LACTEA	P1103
414	JACARANDAS	P1104
415	BELISARIO DOMINGUEZ GUADALAJARA	P3103
416	FELIX GALVAN MONTERREY	P2105
417	EJE CENTRAL PORTALES	P1103
418	SALTILLO ATENEO	P2103
419	GOMEZ MORIN MONTERREY	P2701
420	CHAPULTEPEC GUADALAJARA	P3103
421	NAUCALPAN	P1106
422	COACALCO	P1106
423	SAN PEDRO	P3103
424	PH MULTIPLAZA IZCALLI	P5101
425	PH ESCOBEDO	P5101
426	COACALCO	P1102
427	TENAYUCA	P1102
429	SANTE FE	P1105
430	PARROQUIA	P1105
431	CHALCO	P1102
432	PLAZA SATELITE	P1111
433	BRISAS	P2103
434	SENDERO	P2105
436	REYNOSA	P2107
437	ALAMEDAS	P1104
438	CUAUTITLAN IZCALLI	P1104
439	MATAMOROS	P2107
440	CD. VICTORIA	P2107
441	LOMAS VERDES	P1104
442	TLALNEPANTLA	P1104
443	PLAZA TORRES LINDAVISTA	P1106
444	VALLE DE SANTIAGO	P1107
445	ESCOBEDO	P2105
446	SAN JUAN	P1107
447	CUAUTLA	P1109
448	TEXCOCO	P1105
451	PACHUCA	P1111
452	SAN PEDRO DE LOS PINOS	P1103
453	LEYVA SOLANO	P3101
454	EL COYOL	P1110
455	INDEPENDENCIA	P2102
456	EL ROSARIO	P1104
457	LINCOLN	P2105
459	CARMELO PÈREZ	P1102
460	MIRADOR	P2101
502	BOULEVARES / BOULEVARD	P1106
504	PILARES	P1107
505	PALMA	P1108
507	NIZA	P1701
508	VILLA COAPA	P1107
512	TECAMACHALCO	P1111
514	ACAPULCO I  CALINDA	P1109
515	ACAPULCO II  DIANA	P1109
518	PLAZA CUERNAVACA	P1109
519	GALERIAS	P1103
521	MAGDALENA	P1701
522	VALLE DORADO	P1104
524	CUITLAHUAC	K1605
525	SANTA URSULA	K1607
526	LAZARO CARDENAS	K1101
527	CUAUTITLAN	K1304
529	SAN COSME	K1101
530	XOCHIMILCO	K1607
532	MADERO	K1101
533	PLAZA ORIENTE	K1104
534	GUADALUPE	K1104
536	TACUBA	K1605
537	ERMITA	K1601
538	TRONCOSO	K1601
539	ZARAGOZA	K1602
541	SANTA MONICA	K1301
542	SATELITE	K1103
543	POLANCO	K1102
544	TECAMACHALCO	K1105
545	ARNESES	K1601
